ID de requisición de personal,Categoría,Titulo,link,Ubicación
101,Operaciones,INGENIERO OPERADOR CNC,https://empresa.com/jobs/823,Ozumba
102,Recursos Humanos,JEFATURA SR DE ADMINISTRACION DE RH,https://empresa.com/jobs/800,Corporativo
103,Finanzas/Contabilidad,GERENCIA DE COMPRAS,https://empresa.com/jobs/843,Corporativo
201,Recursos Humanos,COORDINACION DE ATRACCION DE TALENTO,https://empresa.com/jobs/804,Ozumba
203,Recursos Humanos,COORDINACION DE ATRACCION DE TALENTO,https://empresa.com/jobs/805,Ozumba
205,Recursos Humanos,ANALISTA DE CAPACITACION,https://empresa.com/jobs/700,Ozumba
301,Tecnología,ANALISTA DE DESARROLLO,https://empresa.com/jobs/805,CDMX
302,Tecnología,DESARROLLADOR FRONTEND,https://empresa.com/jobs/810,CDMX
307,Tecnología,ADMINISTRADOR DE SISTEMAS,https://empresa.com/jobs/811,Guadalajara
308,Marketing,COORDINADOR DE MARKETING,https://empresa.com/jobs/812,Monterrey
401,Administración,ASISTENTE ADMINISTRATIVO,https://empresa.com/jobs/813,CDMX
